name,rate,image
Crystal Jade Kitchen - Vincom Ngô Quyền - Nhà Hàng Quảng Đông,7.0,https://images.foody.vn/res/g15/147983/prof/s640x400/foody-upload-api-foody-mobile-crystal-jade-kitchen-180620154504.jpg
Hệ thống Pizza 4P’s - Pizza Kiểu Nhật,8.3,https://images.foody.vn/res/g27/269438/prof/s640x400/foody-mobile-ava-jpg-325-636177345538537741.jpg
Papas' Chicken Restaurant,7.6,https://images.foody.vn/res/g67/660741/prof/s640x400/foody-mobile-pa-jpg.jpg
Hệ thống Samdi Hotel,7.7,https://images.foody.vn/res/g1/6500/prof/s640x400/foody-mobile-sa1-jpg.jpg
NH Làng Nghệ - Cafe - Ăn Sáng - Cơm Niêu - Các Món Nhậu,8.3,https://images.foody.vn/res/g16/156306/prof/s640x400/foody-mobile-12549058_16974521504-899-635882916863764195.jpg
Hongdae BBQ & Beer - Nguyễn Văn Linh,8.2,https://images.foody.vn/res/g30/292930/prof/s640x400/foody-upload-api-foody-mobile-hongdea-jpg-181227122049.jpg
Bushido Restaurant,7.9,https://images.foody.vn/res/g12/119072/prof/s640x400/foody-upload-api-foody-mobile-20-191008164949.jpg
Xiên Nướng Banjiro,7.8,https://images.foody.vn/res/g9/88414/prof/s640x400/foody-upload-api-foody-mobile-banjiro-jpg-181003100642.jpg
Hải Cảng Restaurant - Ẩm Thực Trung Hoa - Novotel,8.8,https://images.foody.vn/res/g64/630414/prof/s640x400/foody-mobile-hcang-jpg-740-636419464577152750.jpg
Retro Kitchen & Bar,7.8,https://images.foody.vn/res/g17/162043/prof/s640x400/foody-mobile-tro-jpg.jpg
Hệ thống Gà Rán Jollibee - Đà Nẵng,7.3,https://images.foody.vn/res/g15/147984/prof/s640x400/foody-mobile-5-jpg-509-636341508490308948.jpg
Beefsteak 51 - Mai Hắc Đế,7.8,https://images.foody.vn/res/g5/43303/prof/s640x400/foody-mobile-la2-jpg-294-636125535213002918.jpg
Hệ thống Gà Rán KFC - Miền Trung,7.2,https://images.foody.vn/res/g1/8502/prof/s640x400/foody-upload-api-foody-mobile-fkc-jpg-180601094259.jpg
Magic Pan Food Palace - Vincom Center Đà Nẵng,7.6,https://images.foody.vn/res/g15/147562/prof/s640x400/foody-mobile-foody-magic-pan-food-787-635882919166484240.jpg
Runam Bistro - Bạch Đằng,7.4,https://images.foody.vn/res/g20/196028/prof/s640x400/foody-upload-api-foody-mobile-10-jpg-181105164736.jpg
The Sushi Bar - Thiên Quế,7.8,https://images.foody.vn/res/g15/148365/prof/s640x400/foody-mobile-sashimi_600x384-1050-856-635768973265857441.jpg
Sườn Nướng Cao Bồi,7.3,https://images.foody.vn/res/g21/204072/prof/s640x400/foody-mobile-foody-suon-nuong-cao-945-635933011572191108.jpg
Thịt Tốt Restaurant,7.6,https://images.foody.vn/res/g9/88275/prof/s640x400/foody-mobile-foody-checkin-thit-t-826-635840423605594315.jpg
Madame Lân - Ẩm Thực VIệt,7.6,https://images.foody.vn/res/g1/6259/prof/s640x400/foody-upload-api-foody-mobile-madame-lan-am-thuc-v-180620151547.jpg
Hệ thống Bella Pizza,7.7,https://images.foody.vn/res/g27/269547/prof/s640x400/foody-mobile-bell-jpg-550-636138680304265862.jpg
My Thái Restaurant - Ẩm Thực Thái,8.1,https://images.foody.vn/res/g66/658216/prof/s640x400/foody-mobile-myth-jpg-641-636332292467972129.jpg
Hệ thống Trúc Lâm Viên,7.5,https://images.foody.vn/res/g1/3232/prof/s640x400/foody-mobile-truc-lam-vien-mb-jpg-940-635784535242864353.jpg
Nướng Đà Thành - BBQ,2.5,https://images.foody.vn/res/g8/72518/prof/s640x400/foody-mobile-album-ngay-25-9-9-jp-747-635787978453521375.jpg
Palmier Café & Restaurant,7.7,https://images.foody.vn/res/g28/275157/prof/s640x400/foody-upload-api-foody-mobile-cafe-jpg-181210173358.jpg
Liu Chu Fang - Buffet Lẩu & Dimsum Hồng Kông,6.6,https://images.foody.vn/res/g68/675365/prof/s640x400/foody-upload-api-foody-mobile-liu-chu-fang-buffet--180620144447.jpg
Bin Restaurant - Bánh Donut & Gà Nướng,7.4,https://images.foody.vn/res/g1/6725/prof/s640x400/foody-mobile-binee-jpg-222-636137632259652645.jpg
Korean Street Food - Ẩm Thực Đường Phố Hàn Quốc,7.4,https://images.foody.vn/res/g32/314513/prof/s640x400/foody-mobile-hquoc-jpg-699-636318462927719198.jpg
Hệ thống Thai Market,7.5,https://images.foody.vn/res/g31/300040/prof/s640x400/foody-upload-api-foody-mobile-thaim-jpg-180510171612.jpg
Phì Lũ 1,7.6,https://images.foody.vn/res/g1/3233/prof/s640x400/foody-upload-api-foody-mobile-phi-lu-1-jpg-180620093908.jpg
Hệ thống Ẩm Thực XÈO,7.5,https://images.foody.vn/res/g26/250858/prof/s640x400/foody-upload-api-foody-mobile-am-thuc-xeo-hoang-va-180620144754.jpg
Mr. Pizza - Nguyễn Chí Thanh,7.1,https://images.foody.vn/res/g1/8496/prof/s640x400/foody-mobile-piz-jpg-199-636185403373776729.jpg
Ecstasy Restaurant - Ẩm Thực 3 Miền,7.7,https://images.foody.vn/res/g10/91424/prof/s640x400/foody-mobile-m-hinh-jpg-450-636283633463652718.jpg
Michi Sushi - Nguyễn Văn Linh,7.3,https://images.foody.vn/res/g66/653398/prof/s640x400/foody-mobile-mic-jpg-379-636286395578877384.jpg
Đông Dương - Ẩm Thực Việt,7.9,https://images.foody.vn/res/g1/8488/prof/s640x400/foody-upload-api-foody-mobile-dong-duong-am-thuc-v-180629135613.jpg
Hệ thống Dê Nghĩa - Hệ Thống Dê Đà Nẵng,7.9,https://images.foody.vn/res/g9/89635/prof/s640x400/foody-mobile-foody-quan-nghia-dac-664-635727446416075386.jpg
Luna Pub - Trần Phú,7.4,https://images.foody.vn/res/g5/49735/prof/s640x400/foody-upload-api-foody-mobile-luna-pub-tran-phu-jp-180620113242.jpg
BBQ Ủn Ỉn - Sườn Heo Xông Khói,7.7,https://images.foody.vn/res/g24/230117/prof/s640x400/foody-mobile-heo-xkk-jpg-220-636160953126972310.jpg
Dae Jang Geum - Nhà Hàng Hàn Quốc,7.3,https://images.foody.vn/res/g9/88757/prof/s640x400/foody-mobile-dea-jpg-720-636348609180720748.jpg
Ớt Xanh Restaurant,7.0,https://images.foody.vn/res/g10/91835/prof/s640x400/foody-mobile-foody-ot-xanh-restau-877-635972612887643632.jpg
Yuk Hae Gong - BBQ Hàn Quốc,7.5,https://images.foody.vn/res/g30/290530/prof/s640x400/foody-mobile-yu-jpg-770-636155806981514476.jpg
Bread of Life,7.6,https://images.foody.vn/res/g1/8440/prof/s640x400/foody-upload-api-foody-mobile-gh-191120171456.jpg
Hệ thống Ẩm Thực XÈO,7.5,https://images.foody.vn/res/g26/250858/prof/s640x400/foody-upload-api-foody-mobile-am-thuc-xeo-hoang-va-180620144754.jpg
Mr. Pizza - Nguyễn Chí Thanh,7.1,https://images.foody.vn/res/g1/8496/prof/s640x400/foody-mobile-piz-jpg-199-636185403373776729.jpg
Ecstasy Restaurant - Ẩm Thực 3 Miền,7.7,https://images.foody.vn/res/g10/91424/prof/s640x400/foody-mobile-m-hinh-jpg-450-636283633463652718.jpg
Michi Sushi - Nguyễn Văn Linh,7.3,https://images.foody.vn/res/g66/653398/prof/s640x400/foody-mobile-mic-jpg-379-636286395578877384.jpg
Đông Dương - Ẩm Thực Việt,7.9,https://images.foody.vn/res/g1/8488/prof/s640x400/foody-upload-api-foody-mobile-dong-duong-am-thuc-v-180629135613.jpg
Hệ thống Dê Nghĩa - Hệ Thống Dê Đà Nẵng,7.9,https://images.foody.vn/res/g9/89635/prof/s640x400/foody-mobile-foody-quan-nghia-dac-664-635727446416075386.jpg
Luna Pub - Trần Phú,7.4,https://images.foody.vn/res/g5/49735/prof/s640x400/foody-upload-api-foody-mobile-luna-pub-tran-phu-jp-180620113242.jpg
BBQ Ủn Ỉn - Sườn Heo Xông Khói,7.7,https://images.foody.vn/res/g24/230117/prof/s640x400/foody-mobile-heo-xkk-jpg-220-636160953126972310.jpg
Dae Jang Geum - Nhà Hàng Hàn Quốc,7.3,https://images.foody.vn/res/g9/88757/prof/s640x400/foody-mobile-dea-jpg-720-636348609180720748.jpg
Ớt Xanh Restaurant,7.0,https://images.foody.vn/res/g10/91835/prof/s640x400/foody-mobile-foody-ot-xanh-restau-877-635972612887643632.jpg
Yuk Hae Gong - BBQ Hàn Quốc,7.5,https://images.foody.vn/res/g30/290530/prof/s640x400/foody-mobile-yu-jpg-770-636155806981514476.jpg
Bread of Life,7.6,https://images.foody.vn/res/g1/8440/prof/s640x400/foody-upload-api-foody-mobile-gh-191120171456.jpg
Hệ thống Ẩm Thực XÈO,7.5,https://images.foody.vn/res/g26/250858/prof/s640x400/foody-upload-api-foody-mobile-am-thuc-xeo-hoang-va-180620144754.jpg
Mr. Pizza - Nguyễn Chí Thanh,7.1,https://images.foody.vn/res/g1/8496/prof/s640x400/foody-mobile-piz-jpg-199-636185403373776729.jpg
Ecstasy Restaurant - Ẩm Thực 3 Miền,7.7,https://images.foody.vn/res/g10/91424/prof/s640x400/foody-mobile-m-hinh-jpg-450-636283633463652718.jpg
Michi Sushi - Nguyễn Văn Linh,7.3,https://images.foody.vn/res/g66/653398/prof/s640x400/foody-mobile-mic-jpg-379-636286395578877384.jpg
Đông Dương - Ẩm Thực Việt,7.9,https://images.foody.vn/res/g1/8488/prof/s640x400/foody-upload-api-foody-mobile-dong-duong-am-thuc-v-180629135613.jpg
Hệ thống Dê Nghĩa - Hệ Thống Dê Đà Nẵng,7.9,https://images.foody.vn/res/g9/89635/prof/s640x400/foody-mobile-foody-quan-nghia-dac-664-635727446416075386.jpg
Luna Pub - Trần Phú,7.4,https://images.foody.vn/res/g5/49735/prof/s640x400/foody-upload-api-foody-mobile-luna-pub-tran-phu-jp-180620113242.jpg
BBQ Ủn Ỉn - Sườn Heo Xông Khói,7.7,https://images.foody.vn/res/g24/230117/prof/s640x400/foody-mobile-heo-xkk-jpg-220-636160953126972310.jpg
Dae Jang Geum - Nhà Hàng Hàn Quốc,7.3,https://images.foody.vn/res/g9/88757/prof/s640x400/foody-mobile-dea-jpg-720-636348609180720748.jpg
Ớt Xanh Restaurant,7.0,https://images.foody.vn/res/g10/91835/prof/s640x400/foody-mobile-foody-ot-xanh-restau-877-635972612887643632.jpg
Yuk Hae Gong - BBQ Hàn Quốc,7.5,https://images.foody.vn/res/g30/290530/prof/s640x400/foody-mobile-yu-jpg-770-636155806981514476.jpg
Bread of Life,7.6,https://images.foody.vn/res/g1/8440/prof/s640x400/foody-upload-api-foody-mobile-gh-191120171456.jpg
Hệ thống Ẩm Thực XÈO,7.5,https://images.foody.vn/res/g26/250858/prof/s640x400/foody-upload-api-foody-mobile-am-thuc-xeo-hoang-va-180620144754.jpg
Mr. Pizza - Nguyễn Chí Thanh,7.1,https://images.foody.vn/res/g1/8496/prof/s640x400/foody-mobile-piz-jpg-199-636185403373776729.jpg
Ecstasy Restaurant - Ẩm Thực 3 Miền,7.7,https://images.foody.vn/res/g10/91424/prof/s640x400/foody-mobile-m-hinh-jpg-450-636283633463652718.jpg
Michi Sushi - Nguyễn Văn Linh,7.3,https://images.foody.vn/res/g66/653398/prof/s640x400/foody-mobile-mic-jpg-379-636286395578877384.jpg
Đông Dương - Ẩm Thực Việt,7.9,https://images.foody.vn/res/g1/8488/prof/s640x400/foody-upload-api-foody-mobile-dong-duong-am-thuc-v-180629135613.jpg
Hệ thống Dê Nghĩa - Hệ Thống Dê Đà Nẵng,7.9,https://images.foody.vn/res/g9/89635/prof/s640x400/foody-mobile-foody-quan-nghia-dac-664-635727446416075386.jpg
Luna Pub - Trần Phú,7.4,https://images.foody.vn/res/g5/49735/prof/s640x400/foody-upload-api-foody-mobile-luna-pub-tran-phu-jp-180620113242.jpg
BBQ Ủn Ỉn - Sườn Heo Xông Khói,7.7,https://images.foody.vn/res/g24/230117/prof/s640x400/foody-mobile-heo-xkk-jpg-220-636160953126972310.jpg
Dae Jang Geum - Nhà Hàng Hàn Quốc,7.3,https://images.foody.vn/res/g9/88757/prof/s640x400/foody-mobile-dea-jpg-720-636348609180720748.jpg
Ớt Xanh Restaurant,7.0,https://images.foody.vn/res/g10/91835/prof/s640x400/foody-mobile-foody-ot-xanh-restau-877-635972612887643632.jpg
Yuk Hae Gong - BBQ Hàn Quốc,7.5,https://images.foody.vn/res/g30/290530/prof/s640x400/foody-mobile-yu-jpg-770-636155806981514476.jpg
Bread of Life,7.6,https://images.foody.vn/res/g1/8440/prof/s640x400/foody-upload-api-foody-mobile-gh-191120171456.jpg
Hệ thống Ẩm Thực XÈO,7.5,https://images.foody.vn/res/g26/250858/prof/s640x400/foody-upload-api-foody-mobile-am-thuc-xeo-hoang-va-180620144754.jpg
Mr. Pizza - Nguyễn Chí Thanh,7.1,https://images.foody.vn/res/g1/8496/prof/s640x400/foody-mobile-piz-jpg-199-636185403373776729.jpg
Ecstasy Restaurant - Ẩm Thực 3 Miền,7.7,https://images.foody.vn/res/g10/91424/prof/s640x400/foody-mobile-m-hinh-jpg-450-636283633463652718.jpg
Michi Sushi - Nguyễn Văn Linh,7.3,https://images.foody.vn/res/g66/653398/prof/s640x400/foody-mobile-mic-jpg-379-636286395578877384.jpg
Đông Dương - Ẩm Thực Việt,7.9,https://images.foody.vn/res/g1/8488/prof/s640x400/foody-upload-api-foody-mobile-dong-duong-am-thuc-v-180629135613.jpg
Hệ thống Dê Nghĩa - Hệ Thống Dê Đà Nẵng,7.9,https://images.foody.vn/res/g9/89635/prof/s640x400/foody-mobile-foody-quan-nghia-dac-664-635727446416075386.jpg
Luna Pub - Trần Phú,7.4,https://images.foody.vn/res/g5/49735/prof/s640x400/foody-upload-api-foody-mobile-luna-pub-tran-phu-jp-180620113242.jpg
BBQ Ủn Ỉn - Sườn Heo Xông Khói,7.7,https://images.foody.vn/res/g24/230117/prof/s640x400/foody-mobile-heo-xkk-jpg-220-636160953126972310.jpg
Dae Jang Geum - Nhà Hàng Hàn Quốc,7.3,https://images.foody.vn/res/g9/88757/prof/s640x400/foody-mobile-dea-jpg-720-636348609180720748.jpg
Ớt Xanh Restaurant,7.0,https://images.foody.vn/res/g10/91835/prof/s640x400/foody-mobile-foody-ot-xanh-restau-877-635972612887643632.jpg
Yuk Hae Gong - BBQ Hàn Quốc,7.5,https://images.foody.vn/res/g30/290530/prof/s640x400/foody-mobile-yu-jpg-770-636155806981514476.jpg
Bread of Life,7.6,https://images.foody.vn/res/g1/8440/prof/s640x400/foody-upload-api-foody-mobile-gh-191120171456.jpg
